Timestamp,Respondent ID,Department ,Years of Experience,Ever used R?,Confidence with stats (1-10),Q1: I can reproduce my own analysis six months later,Q2: I keep raw and cleaned data separate,Q3: I would use AI tools to draft analysis code,Hours spent on data cleaning per paper,Comments
2026-03-14,F093,Pediatrics,9,Yes,8,Agree,Neutral,Strongly agree,,Please share slides
2026-03-14,F003, Anatomy,5,Yes,4,Strongly agree,Disagree,Neutral,20,Would like a follow up session
14-03-2026,F048,Community Medicine,8,no,8,Disagree,Neutral,Strongly disagree,20,Please share slides
2026/03/15,F119,Pediatrics,7,No,6,Strongly disagree,Neutral,Neutral,,NA
14/03/2026,F080,Physiology,8,N,9,Agree,Disagree,Disagree,20,Please share slides
2026/03/15,F041, Anatomy,28,no,5,Strongly disagree,Neutral,Agree,10,Would like a follow up session
14-03-2026,F001,Pediatrics,11,N,2,Strongly disagree,Neutral,Neutral,5,Would like a follow up session
14/03/2026,F039,Paediatrics,16,No,8,Agree,Disagree,Strongly agree,,Please share slides
14-03-2026,F067,Community Medicine,11,N,4,Agree,Agree,Neutral,5,-
2026/03/15,F052, Anatomy,4,No,5,Disagree,Agree,Disagree,10,NA
2026-03-14,F030,Medical Education Unit,6,No,6,Agree,Agree,Neutral,unknown,Would like a follow up session
2026/03/15,F090,Paediatrics,7,No,8,Strongly disagree,Disagree,Disagree,10,Please share slides
14/03/2026,F037,community medicine,29,N,8,Strongly agree,Strongly disagree,Disagree,,-
2026-03-14,F059,community medicine,11,No,4,Neutral,Agree,Strongly agree,20,Please share slides
14-03-2026,F065,Physiology,5,N,9,Agree,Agree,Agree,unknown,Would like a follow up session
14-03-2026,F055,Community Medicine,15,No,4,Disagree,Strongly disagree,Agree,unknown,  needs more hands on time  
14-03-2026,F063,Physiology,7,no,9,Neutral,Agree,Disagree,,  needs more hands on time  
2026/03/15,F088,Physiology,21,Yes,3,Disagree,Neutral,Strongly agree,2,  needs more hands on time  
2026/03/15,F019,Pediatrics,4,No,6,Strongly agree,Agree,Disagree,2,Please share slides
2026/03/15,F043,Community Medicine,12,no,3,Strongly disagree,Neutral,Neutral,NA,
14/03/2026,F025,Medical Education Unit,4,No,7,Neutral,Disagree,Strongly disagree,10,Very useful
2026/03/15,F062,Pediatrics,8,yes,3,Agree,Agree,Neutral,,
2026-03-14,F064,Medical Education Unit,12,no,7,Disagree,Agree,Strongly agree,unknown,Very useful
2026-03-14,F009,Medical Education Unit,34,No,7,Agree,Neutral,Strongly disagree,,
2026/03/15,F008,Medical Education Unit,12,no,6,Disagree,Agree,Strongly agree,40,Please share slides
14/03/2026,F082,Pediatrics,5,no,6,Disagree,Strongly agree,Strongly agree,NA,Would like a follow up session
2026-03-14,F094,Medical Education Unit,10,No,8,Neutral,Agree,Agree,10,Please share slides
14/03/2026,F004,community medicine,19,N,8,Agree,Strongly disagree,Agree,5,Very useful
2026-03-14,F049, Anatomy,22,no,6,Neutral,Disagree,Neutral,unknown,-
2026-03-14,F032,Paediatrics,8,No,3,Neutral,Neutral,Strongly disagree,20,-
14-03-2026,F050,Community Medicine,10,No,5,Neutral,Disagree,Disagree,,
2026/03/15,F007,Paediatrics,13,No,10,Strongly agree,Strongly agree,Agree,20,Very useful
14/03/2026,F015,Paediatrics,31,No,8,Strongly disagree,Agree,Agree,40,NA
14/03/2026,F103,Physiology,18,Yes,7,Neutral,Agree,Agree,2,  needs more hands on time  
14/03/2026,F016,Community Medicine,9,No,2,Disagree,Disagree,Strongly agree,unknown,Very useful
14-03-2026,F057,Medical Education Unit,10,no,4,Disagree,Strongly agree,Agree,20,-
2026/03/15,F038,Paediatrics,19,Yes,4,Strongly disagree,Neutral,Neutral,2,Please share slides
2026/03/15,F028,Pediatrics,13,No,9,Agree,Neutral,Agree,unknown,Would like a follow up session
2026/03/15,F107,Medical Education Unit,17,N,6,Agree,Disagree,Neutral,NA,Very useful
14-03-2026,F117,Medical Education Unit,6,no,8,Disagree,Strongly disagree,Agree,unknown,NA
2026/03/15,F110,Community Medicine,7,Yes,2,Agree,Strongly agree,Disagree,,NA
2026/03/15,F021,Pediatrics,8,No,4,Neutral,Strongly agree,Disagree,10,Very useful
2026/03/15,F061,Pediatrics,20,No,7,Agree,Neutral,Disagree,unknown,Very useful
2026/03/15,F054,Pediatrics,15,No,5,Agree,Strongly agree,Strongly agree,10,  needs more hands on time  
14-03-2026,F056,Paediatrics,20,no,4,Strongly agree,Strongly disagree,Strongly agree,5,-
14-03-2026,F098,Community Medicine,5,No,3,Agree,Agree,Neutral,unknown,Would like a follow up session
14-03-2026,F073,Medical Education Unit,10,No,1,Strongly disagree,Strongly agree,Neutral,40,NA
2026-03-14,F071,Pediatrics,22,No,2,Neutral,Disagree,Agree,10,-
14-03-2026,F117,Medical Education Unit,6,no,8,Disagree,Strongly disagree,Agree,unknown,NA
2026-03-14,F109,community medicine,4,No,10,Neutral,Strongly agree,Strongly disagree,40,Would like a follow up session
14-03-2026,F060,Pediatrics,8,no,9,Disagree,Disagree,Neutral,NA,-
