student_id,batch,college,sex,age,rural_background,teaching_arm,admission_score,attendance_pct,pretest,posttest,gain,study_hours,burnout_score,burnout_band,satisfaction,passed
S001,2023,"Govt Medical College, Alappuzha",Female,20,Rural,Flipped classroom,63,84.8,56.1,68.6,12.5,12.8,39.6,Moderate,2,Yes
S002,2024,"Govt Medical College, Alappuzha",Female,22,Rural,Flipped classroom,79.2,76.3,65.7,72.2,6.5,12.7,52.3,Moderate,3,Yes
S003,2024,"Govt Medical College, Kozhikode",Male,22,Urban,Flipped classroom,58.6,71.2,57.4,NA,NA,5.5,19.4,Low,1,No
S004,2024,"Govt Medical College, Thrissur",Female,21,Urban,Traditional lecture,74.7,79.4,54.8,66.1,11.3,9.1,63.7,High,3,Yes
S005,2024,"Govt Medical College, Kozhikode",Male,20,Urban,Traditional lecture,49.2,81.6,52.5,NA,NA,13.3,NA,NA,4,No
S006,2024,"Govt Medical College, Thrissur",Female,18,Rural,Flipped classroom,63.6,69.2,49.7,NA,NA,5.4,55.3,Moderate,4,No
S007,2022,"Govt Medical College, Thrissur",Male,22,Rural,Flipped classroom,76.9,100,64.9,85.9,21,9.5,56.3,Moderate,1,Yes
S008,2022,"Govt Medical College, Thrissur",Female,20,Urban,Traditional lecture,61.4,98.4,50.1,58.1,8,5.6,49.3,Moderate,2,Yes
S009,2024,"Govt Medical College, Thrissur",Female,22,Rural,Flipped classroom,66.4,84.8,62.5,94.1,31.6,16.1,47.3,Moderate,3,Yes
S010,2024,"Govt Medical College, Kozhikode",Male,20,Urban,Flipped classroom,57.2,84,45.5,63.6,18.1,4.5,45.7,Moderate,2,Yes
S011,2024,"Govt Medical College, Thrissur",Male,21,Rural,Flipped classroom,62.9,87.7,62,79.1,17.1,20.5,35.9,Moderate,3,Yes
S012,2024,"Govt Medical College, Thrissur",Female,21,Rural,Traditional lecture,72.9,86.5,64.4,85.5,21.1,16.2,48.1,Moderate,1,Yes
S013,2023,"Govt Medical College, Alappuzha",Female,21,Rural,Flipped classroom,72.3,66.7,76,94.3,18.3,7.7,63,High,1,Yes
S014,2022,"Govt Medical College, Thrissur",Male,22,Urban,Flipped classroom,60,78.7,48.5,70.1,21.6,11,NA,NA,1,Yes
