student_id,station,station_name,domain,examiner,score,max_score,attempt
S001,ST1,History taking,Communication,EX03,9,20,1
S001,ST2,Clinical examination,Clinical skill,EX09,7,20,1
S001,ST3,Procedure: IV access,Procedural skill,EX02,6,20,1
S001,ST4,Counselling,Communication,EX02,11,20,1
S001,ST5,Data interpretation,Cognitive,EX01,11,20,1
S002,ST1,History taking,Communication,EX07,14,20,1
S002,ST2,Clinical examination,Clinical skill,EX02,10,20,1
S002,ST3,Procedure: IV access,Procedural skill,EX10,7,20,1
S002,ST4,Counselling,Communication,EX01,8,20,1
S002,ST5,Data interpretation,Cognitive,EX12,13,20,1
S003,ST1,History taking,Communication,EX11,7,20,1
S003,ST2,Clinical examination,Clinical skill,EX12,6,20,1
S003,ST3,Procedure: IV access,Procedural skill,EX08,8,20,1
S003,ST4,Counselling,Communication,EX12,7,20,1
S003,ST5,Data interpretation,Cognitive,EX04,7,20,1
S004,ST1,History taking,Communication,EX08,14,20,1
S004,ST2,Clinical examination,Clinical skill,EX08,6,20,1
S004,ST3,Procedure: IV access,Procedural skill,EX02,11,20,1
S004,ST4,Counselling,Communication,EX08,7,20,1
S004,ST5,Data interpretation,Cognitive,EX12,7,20,1
S005,ST1,History taking,Communication,EX03,7,20,1
S005,ST2,Clinical examination,Clinical skill,EX06,9,20,1
S005,ST3,Procedure: IV access,Procedural skill,EX03,5,20,1
S005,ST4,Counselling,Communication,EX06,4,20,1
S005,ST5,Data interpretation,Cognitive,EX11,0,20,1
S006,ST1,History taking,Communication,EX04,7,20,1
S006,ST2,Clinical examination,Clinical skill,EX07,5,20,1
S006,ST3,Procedure: IV access,Procedural skill,EX04,7,20,1
S006,ST4,Counselling,Communication,EX10,6,20,1
S006,ST5,Data interpretation,Cognitive,EX05,9,20,1
S007,ST1,History taking,Communication,EX06,13,20,1
S007,ST2,Clinical examination,Clinical skill,EX08,8,20,1
S007,ST3,Procedure: IV access,Procedural skill,EX05,9,20,1
S007,ST4,Counselling,Communication,EX03,11,20,1
